Name,Date,Time,Location,Topic
"
                                        
                                    Committee on Recovery and Resiliency",6/10/2014,"
                                        Deferred
                                    ",Council Chambers - City HallJointly with the Committee on Parks and Recreation,Oversight - Update on the Status of Parks and Beaches Affected by Hurricane Sandy.
"
                                        
                                    Committee on State and Federal Legislation",6/10/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Governmental Operations",6/9/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointly with the Committee on Technology,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Technology",6/9/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointlly with the Committee on Governmental Operations,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Service and Labor",6/9/2014,"
                                        Deferred
                                    ",Council Chambers - City Hall, 
"
                                        
                                    Committee on Transportation",6/9/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Oversight – Evaluating TLC’s Street Hail Livery Program.
"
                                        
                                    Committee on Land Use",6/9/2014,"
                                        11:00 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Public Safety",6/9/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Governmental Operations",6/9/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Allow 16 and 17 year olds to be appointed to NYC Community Boards. (A.2448/S.4142)
"
                                        
                                    Committee on Contracts",6/6/2014,"
                                        12:45 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Contracts
"
                                        
                                    Committee on Finance",6/6/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Contracts,Executive Budget Hearings - Finance
